iter	Passed	Remaining
411	4824	1580
412	4828	1566
413	4836	1553
414	4887	1554
415	4891	1540
416	4896	1526
417	4902	1512
418	4905	1498
419	4909	1484
420	4942	1479
421	4958	1468
422	4974	1458
423	4996	1449
424	5000	1435
425	5003	1421
426	5008	1407
427	5017	1395
428	5020	1381
429	5051	1374
430	5062	1362
431	5066	1348
432	5072	1335
433	5127	1335
434	5130	1320
435	5148	1310
436	5156	1298
437	5180	1289
438	5186	1276
439	5213	1267
440	5220	1254
441	5223	1240
442	5226	1227
443	5229	1213
444	5238	1200
445	5241	1186
446	5244	1173
447	5247	1159
448	5274	1151
449	5279	1138
450	5370	1143
451	5374	1129
452	5405	1121
453	5409	1108
454	5415	1095
455	5420	1081
456	5424	1068
457	5430	1055
458	5434	1041
459	5459	1032
460	5474	1021
461	5480	1008
462	5484	995
463	5488	981
464	5491	968
465	5498	955
466	5503	942
467	5506	929
468	5566	925
469	5569	912
470	5572	899
471	5577	886
472	5582	873
473	5585	860
474	5591	847
475	5635	840
476	5641	827
477	5654	816
478	5662	803
479	5664	790
480	5667	777
481	5670	764
482	5695	754
483	5731	746
484	5734	733
485	5795	727
486	5798	714
487	5811	702
488	5815	689
489	5827	677
490	5850	667
491	5854	654
492	5857	641
493	5860	628
494	5888	618
495	5892	605
496	5901	593
497	5906	581
498	5911	568
499	5928	557
500	5942	545
501	5961	534
502	5964	521
503	5967	509
504	5975	496
505	5979	484
506	5982	472
507	5992	460
508	6038	450
509	6042	438
510	6047	426
511	6051	413
512	6055	401
513	6059	389
514	6065	376
515	6089	365
516	6092	353
517	6112	342
518	6116	330
519	6119	317
520	6123	305
521	6130	293
522	6135	281
523	6138	269
524	6195	259
525	6198	247
526	6201	235
527	6204	223
528	6208	211
529	6213	199
530	6229	187
531	6244	176
532	6270	164
533	6277	152
534	6280	140
535	6284	128
536	6287	117
537	6302	105
538	6311	93
539	6315	81
540	6343	70
541	6346	58
542	6349	46
543	6357	35
544	6361	23
545	6365	11
546	6376	0
