iter	Logloss
0	0.6914904785
1	0.6902738953
2	0.6885206604
3	0.686990509
4	0.6855576324
5	0.6844805908
6	0.6830259705
7	0.6816105652
8	0.6804690552
9	0.6792720032
10	0.6783061218
11	0.676884613
12	0.6754375458
13	0.6742887878
14	0.6730741882
15	0.6715977478
16	0.6705085754
17	0.6690950012
18	0.6678990936
19	0.6666162109
20	0.6654941559
21	0.6644744873
22	0.6634522247
23	0.6625482178
24	0.6617427063
25	0.6607324219
26	0.6598631287
27	0.6588166809
28	0.6576651764
29	0.6567093658
30	0.6556788635
31	0.6547385406
32	0.6540258789
33	0.6533168793
34	0.6525293732
35	0.6517368317
36	0.6509616089
37	0.6503460693
38	0.6493360138
39	0.6483335876
40	0.6477522278
41	0.6467586517
42	0.6459776306
43	0.6452503204
44	0.6446199036
45	0.6440229797
46	0.6433738708
47	0.642806778
48	0.6422020721
49	0.6415490723
50	0.6410941315
51	0.6406397247
52	0.6400041199
53	0.6393633652
54	0.6387207794
55	0.6382923508
56	0.6376260757
57	0.6371126938
58	0.6365464401
59	0.6358933258
60	0.6350697708
61	0.6346862793
62	0.6342435455
63	0.63378685
64	0.6332273483
65	0.632964859
66	0.6326554489
67	0.6320075226
68	0.6313712311
69	0.6309237671
70	0.6300292206
71	0.62934021
72	0.6289087677
73	0.6285703278
74	0.628086853
75	0.6272328186
76	0.6267189026
77	0.626301651
78	0.625617485
79	0.6251763153
80	0.6248945618
81	0.6241157532
82	0.62358284
83	0.6230754089
84	0.6226746368
85	0.6222144318
86	0.6218084335
87	0.6215015411
88	0.6209965134
89	0.620487175
90	0.620090065
91	0.6196820068
92	0.6192625427
93	0.6188874054
94	0.6183800125
95	0.6176582336
96	0.6171525574
97	0.6167737198
98	0.6163994598
99	0.6159848022
100	0.6156254196
101	0.6153207016
102	0.6149631882
103	0.6145813751
104	0.6143346786
105	0.6140831757
106	0.6137826538
107	0.6133174133
108	0.6128025818
109	0.6124556732
110	0.6118217468
111	0.6115547562
112	0.6111004257
113	0.6109548187
114	0.6104846191
115	0.6101021576
116	0.6098249054
117	0.6092173004
118	0.6087084198
119	0.6083269882
120	0.6079677963
121	0.6077717972
122	0.6074482727
123	0.6070621109
124	0.6066304779
125	0.6064235687
126	0.6061425018
127	0.6057223892
128	0.6053725052
129	0.6051119614
130	0.604796524
131	0.6045972824
132	0.6043213654
133	0.6041125488
134	0.6039171219
135	0.6038098145
136	0.6034270859
137	0.6029343414
138	0.6026663971
139	0.602463913
140	0.6022622681
141	0.6019599152
142	0.6018063736
143	0.601609726
144	0.6011090469
145	0.6009496307
146	0.6006015396
147	0.6003594208
148	0.6000808334
149	0.5998861313
150	0.599707222
151	0.599574585
152	0.5992752457
153	0.5989270782
154	0.5986451721
155	0.5983205032
156	0.5978605652
157	0.5976020813
158	0.597431488
159	0.5972061157
160	0.5970582581
161	0.5968532181
162	0.5966445541
163	0.5961837769
164	0.5958697891
165	0.595619812
166	0.5952109909
167	0.5950673676
168	0.5947240448
169	0.5945510864
170	0.5942603302
171	0.594015274
172	0.5937965775
173	0.5933636856
174	0.593215332
175	0.5929385757
176	0.5927387238
177	0.5925227737
178	0.5924346161
179	0.5922507477
180	0.5919920349
181	0.5918621826
182	0.5914481354
183	0.5911637878
184	0.5909716797
185	0.5907777405
186	0.5906580353
187	0.5904418945
188	0.5903051758
189	0.5900859833
190	0.5898155594
191	0.5896166229
192	0.5894329453
193	0.5891732788
194	0.5890157318
195	0.5886820602
196	0.5884333038
197	0.5882506561
198	0.5881346512
199	0.5878417206
200	0.5876706696
201	0.5874915314
202	0.5872985458
203	0.5871289825
204	0.5870172882
205	0.5868768692
206	0.5866400528
207	0.5863853455
208	0.5860482407
209	0.5858876419
210	0.5856330109
211	0.5853341675
212	0.5849752045
213	0.5847741699
214	0.5844804382
215	0.5843265152
216	0.5841088867
217	0.583955574
218	0.5838342285
219	0.5834713745
220	0.5832809448
221	0.5831225967
222	0.5830037308
223	0.5827684021
224	0.5825603485
225	0.5823750687
226	0.5821520233
227	0.581969223
228	0.5818196487
229	0.5816246033
230	0.5814131165
231	0.5811969757
232	0.5810246277
233	0.5807929611
234	0.5806072617
235	0.5804407883
236	0.5803025818
237	0.5800510406
238	0.579875412
239	0.5797496796
240	0.5796084213
241	0.5793915558
242	0.5792378998
243	0.5789882278
244	0.5788669586
245	0.5787317276
246	0.5785004425
247	0.5783787537
248	0.5782285309
249	0.5780278778
250	0.577879715
251	0.5775282669
252	0.5773192978
253	0.5771507263
254	0.5770083618
255	0.5768522644
256	0.5766746902
257	0.5764842987
258	0.576366272
259	0.5761806107
260	0.5760944748
261	0.5759304047
262	0.5756698227
263	0.5753675461
264	0.5752039719
265	0.5750921631
266	0.5749177551
267	0.5746110153
268	0.5744862366
269	0.5743660355
270	0.5741628265
271	0.5740764999
272	0.573937912
273	0.5736869431
274	0.5734664917
275	0.573359108
276	0.5731460571
277	0.5729256439
278	0.5727727509
279	0.5725681305
280	0.5722868347
281	0.5722006226
282	0.5721253204
283	0.5719010162
284	0.5717414093
285	0.5715174103
286	0.5714428711
287	0.5713311005
288	0.5712094498
289	0.5709802246
290	0.5707414627
291	0.5705810928
292	0.5703460693
293	0.5701381302
294	0.5699836731
295	0.5698216629
296	0.5696346664
297	0.56951828
298	0.569234314
299	0.5691024017
300	0.5689266205
301	0.5687372971
302	0.5685575867
303	0.568396759
304	0.5680612183
305	0.5679503632
306	0.5678210831
307	0.5677523804
308	0.567616539
309	0.5675182343
310	0.567424736
311	0.5672201157
312	0.5670692444
313	0.5669116592
314	0.5667093658
315	0.5665216827
316	0.5662966156
317	0.5661699295
318	0.566010437
319	0.5658272171
320	0.5657300568
321	0.5655091858
322	0.5652719116
323	0.5650069427
324	0.5648325729
325	0.5646438599
326	0.5644262695
327	0.5643408966
328	0.5639506531
329	0.5637853241
330	0.563666153
331	0.5634965897
332	0.5633773804
333	0.5632974243
334	0.5631039429
335	0.5629606247
336	0.5627846527
337	0.5625771332
338	0.5624568939
339	0.5622398376
340	0.5620747375
341	0.5618714523
342	0.5616618347
343	0.5615137482
344	0.5613733292
345	0.5612046814
346	0.5610684967
347	0.560992775
348	0.5608101654
349	0.5607339478
350	0.560524025
351	0.5604612732
352	0.5602087402
353	0.5600349808
354	0.559925766
355	0.5597643661
356	0.5596633148
357	0.5595381165
358	0.5594200134
359	0.559302063
360	0.5591309738
361	0.5590196991
362	0.5588536072
363	0.5587484741
364	0.5586008453
365	0.5584711456
366	0.5583909607
367	0.5582460022
368	0.558078804
369	0.5579675293
370	0.5578926849
371	0.5578295898
372	0.5576568604
373	0.557582283
374	0.55750103
375	0.5573709869
376	0.5572496796
377	0.5570907974
378	0.5569673157
379	0.5566936111
380	0.5565693283
381	0.5565156555
382	0.5563162994
383	0.5562223434
384	0.5560297394
385	0.5558343506
386	0.5557294464
387	0.555518837
388	0.555427475
389	0.5552245331
390	0.5550809479
391	0.5549045563
392	0.5546350861
393	0.5545348358
394	0.5543114853
395	0.5542194366
396	0.5540493393
397	0.5538678741
398	0.5537251282
399	0.5536187744
400	0.5534828949
401	0.5533338165
402	0.5531752014
403	0.5530848694
404	0.5529696655
405	0.5528323364
406	0.5526806259
407	0.5525013733
408	0.5524282837
409	0.5522082138
410	0.5520211411
411	0.5519161606
412	0.5518616104
413	0.5517131424
414	0.5516075134
415	0.5514907837
416	0.5513272095
417	0.5512195587
418	0.5510884094
419	0.5509083557
420	0.5507952118
421	0.5506061554
422	0.5504759216
423	0.5503948212
424	0.5502325439
425	0.5501221466
426	0.5500198746
427	0.5497840118
428	0.5496271896
429	0.5495572662
430	0.5494302368
431	0.5492093658
432	0.5490368652
433	0.5489120483
434	0.5488288116
435	0.5487432861
436	0.5485664749
437	0.5483854675
438	0.5481983948
439	0.5481280899
440	0.5480416107
441	0.5478380203
442	0.5477129364
443	0.5475379181
444	0.5474198151
445	0.547276268
446	0.5471257019
447	0.5470558548
448	0.5469197083
449	0.5467976761
450	0.5466896057
451	0.5466044998
452	0.5465111542
453	0.5464130402
454	0.5463089752
455	0.5461125183
456	0.5459238052
457	0.5457612991
458	0.5456736755
459	0.5455179214
460	0.5453951645
461	0.5452615356
462	0.5452030182
463	0.5450333405
464	0.5449077606
465	0.5447694016
466	0.5445921326
467	0.5444415283
468	0.5442597198
469	0.5441832733
470	0.5440729141
471	0.5439923859
472	0.5438855743
473	0.5437916565
474	0.5437041855
475	0.5435936737
476	0.5434321213
477	0.5432739258
478	0.5431244659
479	0.5430978394
480	0.5430129242
481	0.5428666687
482	0.5427269745
483	0.5425405121
484	0.5423890686
485	0.5422341537
486	0.542069397
487	0.5419419098
488	0.5417566681
489	0.5415906525
490	0.5414928055
491	0.5414147186
492	0.5412394333
493	0.5410991669
494	0.5409004974
495	0.5408097076
496	0.5406354904
497	0.5405015564
498	0.5404319
499	0.540297699
500	0.5402030182
501	0.540031662
502	0.5399331665
503	0.5398046112
504	0.5397407913
505	0.5396331787
506	0.539562645
507	0.5394428253
508	0.5392202377
509	0.5391047668
510	0.5389935303
511	0.5388441467
512	0.5386890411
513	0.5384454346
514	0.5383735275
515	0.538299408
516	0.5381953812
517	0.537980423
518	0.5378951263
519	0.5378677368
520	0.5377731323
521	0.5376589966
522	0.5375376511
523	0.5374360275
524	0.5373228836
525	0.5372082901
526	0.537050972
527	0.5369630051
528	0.5368557358
529	0.5367265701
530	0.5366280746
531	0.53649189
532	0.536316452
533	0.5361956406
534	0.5360779572
535	0.535904541
536	0.5358089447
537	0.5357049179
538	0.5356047821
539	0.5353715134
540	0.5351898193
541	0.5350775909
542	0.534957962
543	0.5348184204
544	0.5347029877
545	0.5345784378
546	0.5344054413
